@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Left,78,0.5974592613,0.0005631096,0.0000005307,?,?,?,53
Left,94,0.1910730718,0.0000502031,0.0000000132,?,?,?,53
Left,78,0.5167131343,0.0003561083,0.0000002454,?,?,?,53
Left,78,0.0594503996,0.0000062573,0.0000000007,?,?,?,53
Left,94,0.6852480966,0.0002569359,0.0000000963,?,?,?,53
Left,109,0.6418939571,0.0006049896,0.0000005702,?,?,?,53
Left,109,0.1254455654,0.0000267133,0.0000000057,?,?,?,53
Left,93,0.0145096343,0.0000021630,0.0000000003,?,?,?,53
Left,109,0.0108654563,0.0000005121,0.0000000000,?,?,?,53
Left,94,0.0238375882,0.0000036382,0.0000000006,?,?,?,53
Left,93,0.0110812953,0.0000009990,0.0000000001,?,?,?,53
Left,94,0.4539682991,0.0002467219,0.0000001341,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,63,0.0592033981,0.0000031678,0.0000000002,?,?,?,53
Left,94,0.3779206622,0.0002106581,0.0000001174,?,?,?,53
Left,109,0.1865004104,0.0001866871,0.0000001869,?,?,?,53
Left,109,0.3478035549,0.0000835063,0.0000000200,?,?,?,53
Left,93,0.0443390488,0.0000012632,0.0000000000,?,?,?,53
Left,78,0.0980918584,0.0000206858,0.0000000044,?,?,?,53
Left,78,0.0485879243,0.0000026484,0.0000000001,?,?,?,53
Left,94,0.1097318808,0.0000119430,0.0000000013,?,?,?,53
Left,93,0.0818902626,0.0000160506,0.0000000031,?,?,?,53
Left,109,0.0060099050,0.0000008795,0.0000000001,?,?,?,53
Left,93,0.0221453269,0.0000074714,0.0000000025,?,?,?,53
Left,78,0.0412531623,0.0000059425,0.0000000009,?,?,?,53
Left,93,0.0952349438,0.0000140984,0.0000000021,?,?,?,53
Left,78,0.1107581699,0.0001511026,0.0000002061,?,?,?,53
Double,562,0.0023401833,0.0000000310,0.0000000000,110,358,94,53
Left,78,0.0127526359,0.0000011513,0.0000000001,?,?,?,53
Left,78,0.0633844892,0.0000064291,0.0000000007,?,?,?,53
Left,109,0.0210857776,0.0000038289,0.0000000007,?,?,?,53
Left,94,0.0911922931,0.0000105718,0.0000000012,?,?,?,53
Left,78,0.0837788976,0.0000188394,0.0000000042,?,?,?,53
Left,78,0.0483607320,0.0000064584,0.0000000009,?,?,?,53
Left,110,0.0726773345,0.0000049457,0.0000000003,?,?,?,53
Left,94,0.0477726677,0.0000138552,0.0000000040,?,?,?,53
Left,109,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.1280460607,0.0000232557,0.0000000042,?,?,?,53
Left,93,0.1252800098,0.0000066809,0.0000000004,?,?,?,53
Left,78,0.4843263943,0.0003375097,0.0000002352,?,?,?,53
Left,78,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
